window_id,timestamp,ip,method,path,status_code,response_time_ms,label,scenario
0,2026-07-01T00:00:03+00:00,203.51.0.2,GET,/shop,200,83.13,0,normal
0,2026-07-01T00:00:04+00:00,203.51.0.7,GET,/product/shoes,404,83.95,0,normal
0,2026-07-01T00:00:05+00:00,203.51.0.5,GET,/cart,302,141.21,0,normal
0,2026-07-01T00:00:10+00:00,203.51.0.6,POST,/cart,200,79.61,0,normal
0,2026-07-01T00:00:15+00:00,203.51.0.1,GET,/,200,166.35,0,normal
0,2026-07-01T00:00:22+00:00,203.51.0.2,GET,/shop,200,94.73,0,normal
0,2026-07-01T00:00:24+00:00,203.51.0.4,GET,/shop,403,94.75,0,normal
0,2026-07-01T00:00:27+00:00,203.51.0.6,GET,/shop,200,124.71,0,normal
0,2026-07-01T00:00:28+00:00,203.51.0.3,GET,/wp-content/uploads/banner.jpg,200,60.2,0,normal
0,2026-07-01T00:00:29+00:00,203.51.0.7,GET,/,200,49.24,0,normal
0,2026-07-01T00:00:29+00:00,203.51.0.7,GET,/product/shoes,200,126.3,0,normal
0,2026-07-01T00:00:47+00:00,203.51.0.2,GET,/wp-content/uploads/banner.jpg,200,123.2,0,normal
0,2026-07-01T00:00:47+00:00,203.51.0.6,GET,/,200,104.16,0,normal
0,2026-07-01T00:00:54+00:00,203.51.0.8,GET,/product/shoes,200,129.77,0,normal
0,2026-07-01T00:01:07+00:00,203.51.0.6,GET,/,200,98.15,0,normal
0,2026-07-01T00:01:21+00:00,203.51.0.4,GET,/product/shoes,200,109.09,0,normal
0,2026-07-01T00:01:27+00:00,203.51.0.3,GET,/,200,156.63,0,normal
0,2026-07-01T00:01:31+00:00,203.51.0.5,GET,/,200,92.29,0,normal
0,2026-07-01T00:01:38+00:00,203.51.0.6,GET,/product/shirt,200,130.6,0,normal
0,2026-07-01T00:01:42+00:00,203.51.0.5,GET,/product/shoes,200,101.73,0,normal
0,2026-07-01T00:01:48+00:00,203.51.0.5,GET,/product/shoes,200,62.91,0,normal
0,2026-07-01T00:01:50+00:00,203.51.0.2,GET,/product/shirt,200,85.03,0,normal
0,2026-07-01T00:01:56+00:00,203.51.0.2,GET,/checkout,200,127.32,0,normal
0,2026-07-01T00:01:57+00:00,203.51.0.6,POST,/checkout,200,224.59,0,normal
0,2026-07-01T00:02:00+00:00,203.51.0.7,GET,/wp-content/uploads/banner.jpg,200,128.47,0,normal
0,2026-07-01T00:02:05+00:00,203.51.0.8,GET,/product/shoes,302,120.77,0,normal
0,2026-07-01T00:02:07+00:00,203.51.0.6,GET,/,200,85.06,0,normal
0,2026-07-01T00:02:15+00:00,203.51.0.7,GET,/cart,403,131.71,0,normal
0,2026-07-01T00:02:18+00:00,203.51.0.3,POST,/checkout,200,160.4,0,normal
0,2026-07-01T00:02:33+00:00,203.51.0.8,GET,/,302,62.8,0,normal
0,2026-07-01T00:02:37+00:00,203.51.0.5,GET,/,404,157.8,0,normal
0,2026-07-01T00:02:40+00:00,203.51.0.7,POST,/checkout,200,155.13,0,normal
0,2026-07-01T00:02:41+00:00,203.51.0.3,GET,/shop,200,91.38,0,normal
0,2026-07-01T00:02:41+00:00,203.51.0.3,GET,/shop,200,148.72,0,normal
0,2026-07-01T00:02:41+00:00,203.51.0.7,GET,/shop,200,96.03,0,normal
0,2026-07-01T00:02:49+00:00,203.51.0.6,GET,/,200,131.32,0,normal
0,2026-07-01T00:02:53+00:00,203.51.0.6,GET,/product/shirt,403,138.95,0,normal
0,2026-07-01T00:02:54+00:00,203.51.0.5,GET,/product/shirt,200,153.72,0,normal
0,2026-07-01T00:03:01+00:00,203.51.0.3,GET,/cart,200,54.59,0,normal
0,2026-07-01T00:03:05+00:00,203.51.0.2,GET,/,200,59.67,0,normal
0,2026-07-01T00:03:05+00:00,203.51.0.4,GET,/shop,200,66.47,0,normal
0,2026-07-01T00:03:13+00:00,203.51.0.2,GET,/product/shirt,200,132.79,0,normal
0,2026-07-01T00:03:14+00:00,203.51.0.2,GET,/product/shirt,403,153.16,0,normal
0,2026-07-01T00:03:19+00:00,203.51.0.7,GET,/cart,404,111.17,0,normal
0,2026-07-01T00:03:40+00:00,203.51.0.6,GET,/cart,302,115.78,0,normal
0,2026-07-01T00:03:52+00:00,203.51.0.5,GET,/,200,71.35,0,normal
0,2026-07-01T00:03:52+00:00,203.51.0.7,GET,/shop,200,111.98,0,normal
0,2026-07-01T00:03:54+00:00,203.51.0.4,GET,/my-account-2/,200,86.49,0,normal
0,2026-07-01T00:03:59+00:00,203.51.0.5,GET,/product/shirt,200,74.7,0,normal
0,2026-07-01T00:04:03+00:00,203.51.0.5,GET,/product/shirt,200,111.17,0,normal
0,2026-07-01T00:04:08+00:00,203.51.0.7,GET,/product/shoes,200,108.48,0,normal
0,2026-07-01T00:04:09+00:00,203.51.0.7,GET,/shop,200,102.52,0,normal
0,2026-07-01T00:04:10+00:00,203.51.0.5,GET,/product/shoes,200,66.55,0,normal
0,2026-07-01T00:04:17+00:00,203.51.0.7,GET,/checkout,200,223.41,0,normal
0,2026-07-01T00:04:19+00:00,203.51.0.5,POST,/cart,200,20.0,0,normal
0,2026-07-01T00:04:24+00:00,203.51.0.6,GET,/shop,403,87.89,0,normal
0,2026-07-01T00:04:30+00:00,203.51.0.8,GET,/shop,200,137.41,0,normal
0,2026-07-01T00:04:31+00:00,203.51.0.5,GET,/my-account-2/,200,113.42,0,normal
0,2026-07-01T00:04:32+00:00,203.51.0.5,GET,/product/shoes,200,96.8,0,normal
0,2026-07-01T00:04:39+00:00,203.51.0.1,GET,/,200,119.58,0,normal
0,2026-07-01T00:04:39+00:00,203.51.0.1,GET,/,200,73.99,0,normal
0,2026-07-01T00:04:41+00:00,203.51.0.6,GET,/product/shoes,200,123.33,0,normal
0,2026-07-01T00:04:50+00:00,203.51.0.5,GET,/shop,200,64.39,0,normal
0,2026-07-01T00:04:51+00:00,203.51.0.7,GET,/shop,404,153.29,0,normal
0,2026-07-01T00:04:55+00:00,203.51.0.6,GET,/product/shirt,302,88.78,0,normal
0,2026-07-01T00:04:58+00:00,203.51.0.7,GET,/shop,200,83.31,0,normal
0,2026-07-01T00:04:59+00:00,203.51.0.4,GET,/,200,108.63,0,normal
1,2026-07-01T00:05:20+00:00,203.51.1.1,GET,/shop,200,56.3,0,normal
1,2026-07-01T00:05:26+00:00,203.51.1.1,GET,/shop,404,89.53,0,normal
1,2026-07-01T00:05:32+00:00,203.51.1.8,GET,/,200,91.1,0,normal
1,2026-07-01T00:05:35+00:00,203.51.1.3,GET,/shop,200,117.58,0,normal
1,2026-07-01T00:05:41+00:00,203.51.1.8,GET,/shop,302,123.43,0,normal
1,2026-07-01T00:05:47+00:00,203.51.1.7,GET,/product/shirt,200,122.9,0,normal
1,2026-07-01T00:05:54+00:00,203.51.1.7,GET,/shop,200,81.76,0,normal
1,2026-07-01T00:06:06+00:00,203.51.1.1,GET,/,200,109.51,0,normal
1,2026-07-01T00:06:15+00:00,203.51.1.1,GET,/checkout,200,213.02,0,normal
1,2026-07-01T00:06:16+00:00,203.51.1.1,POST,/checkout,200,244.56,0,normal
1,2026-07-01T00:06:19+00:00,203.51.1.1,GET,/product/shirt,200,43.65,0,normal
1,2026-07-01T00:06:29+00:00,203.51.1.6,GET,/,200,67.84,0,normal
1,2026-07-01T00:06:30+00:00,203.51.1.2,GET,/product/shoes,403,83.79,0,normal
1,2026-07-01T00:06:38+00:00,203.51.1.3,GET,/shop,200,111.07,0,normal
1,2026-07-01T00:06:41+00:00,203.51.1.7,GET,/product/shoes,200,98.36,0,normal
1,2026-07-01T00:06:47+00:00,203.51.1.1,GET,/,200,90.99,0,normal
1,2026-07-01T00:06:52+00:00,203.51.1.8,GET,/checkout,200,227.0,0,normal
1,2026-07-01T00:07:06+00:00,203.51.1.7,GET,/product/shoes,200,83.23,0,normal
1,2026-07-01T00:07:07+00:00,203.51.1.1,GET,/product/shoes,200,171.18,0,normal
1,2026-07-01T00:07:07+00:00,203.51.1.2,GET,/product/shirt,302,78.66,0,normal
1,2026-07-01T00:07:10+00:00,203.51.1.3,GET,/my-account-2/,200,75.54,0,normal
1,2026-07-01T00:07:13+00:00,203.51.1.3,GET,/shop,200,82.55,0,normal
1,2026-07-01T00:07:19+00:00,203.51.1.8,GET,/my-account-2/,200,135.38,0,normal
1,2026-07-01T00:07:40+00:00,203.51.1.5,GET,/product/shoes,404,86.89,0,normal
1,2026-07-01T00:07:42+00:00,203.51.1.7,GET,/product/shirt,403,122.93,0,normal
1,2026-07-01T00:07:44+00:00,203.51.1.6,GET,/product/shoes,200,125.21,0,normal
1,2026-07-01T00:08:27+00:00,203.51.1.8,POST,/cart,200,70.14,0,normal
1,2026-07-01T00:08:29+00:00,203.51.1.5,GET,/product/shirt,200,143.69,0,normal
1,2026-07-01T00:08:30+00:00,203.51.1.2,GET,/product/shoes,200,107.35,0,normal
1,2026-07-01T00:08:34+00:00,203.51.1.8,GET,/shop,200,75.05,0,normal
1,2026-07-01T00:08:40+00:00,203.51.1.4,GET,/product/shirt,404,108.11,0,normal
1,2026-07-01T00:08:42+00:00,203.51.1.3,GET,/,404,108.37,0,normal
1,2026-07-01T00:08:43+00:00,203.51.1.3,GET,/shop,200,126.69,0,normal
1,2026-07-01T00:08:46+00:00,203.51.1.1,GET,/my-account-2/,200,112.91,0,normal
1,2026-07-01T00:08:48+00:00,203.51.1.7,GET,/shop,404,73.73,0,normal
1,2026-07-01T00:08:55+00:00,203.51.1.2,GET,/shop,302,154.59,0,normal
1,2026-07-01T00:08:57+00:00,203.51.1.7,GET,/cart,404,123.54,0,normal
1,2026-07-01T00:08:58+00:00,203.51.1.8,GET,/shop,200,58.57,0,normal
1,2026-07-01T00:09:00+00:00,203.51.1.2,GET,/shop,200,165.24,0,normal
1,2026-07-01T00:09:02+00:00,203.51.1.6,POST,/cart,200,169.53,0,normal
1,2026-07-01T00:09:03+00:00,203.51.1.7,GET,/,200,87.91,0,normal
1,2026-07-01T00:09:10+00:00,203.51.1.1,GET,/product/shirt,200,91.78,0,normal
1,2026-07-01T00:09:13+00:00,203.51.1.7,GET,/,200,130.17,0,normal
1,2026-07-01T00:09:18+00:00,203.51.1.7,GET,/product/shoes,302,67.61,0,normal
1,2026-07-01T00:09:23+00:00,203.51.1.7,GET,/product/shoes,200,117.12,0,normal
1,2026-07-01T00:09:25+00:00,203.51.1.7,GET,/product/shirt,200,41.66,0,normal
1,2026-07-01T00:09:26+00:00,203.51.1.7,GET,/product/shoes,200,114.3,0,normal
1,2026-07-01T00:09:34+00:00,203.51.1.3,GET,/wp-content/uploads/banner.jpg,200,87.72,0,normal
1,2026-07-01T00:09:35+00:00,203.51.1.4,GET,/product/shirt,200,140.3,0,normal
